Firm_ID,Year,ESG_Score,Overall_Compliance,final_esg_risk_score,alert_level
MFG0103,2023,64.74666666666667,Compliant,21.151999999999997,Low Risk
MFG0436,2021,78.06,Compliant,13.163999999999998,Low Risk
MFG0349,2023,66.93666666666667,Non-Compliant,33.038,Low Risk
MFG0271,2021,74.53000000000002,Non-Compliant,28.481999999999992,Low Risk
MFG0107,2019,68.14999999999999,Non-Compliant,32.31,Low Risk
MFG0072,2019,66.35666666666667,Compliant,20.185999999999996,Low Risk
MFG0189,2019,66.69,Compliant,19.986,Low Risk
MFG0021,2020,72.51666666666667,Compliant,16.49,Low Risk
MFG0103,2020,75.69,Compliant,14.586,Low Risk
MFG0122,2022,78.35000000000001,Compliant,12.989999999999995,Low Risk
MFG0467,2022,65.55,Non-Compliant,33.870000000000005,Low Risk
MFG0215,2022,71.72333333333334,Compliant,16.965999999999994,Low Risk
MFG0331,2020,66.33,Non-Compliant,33.402,Low Risk
MFG0459,2020,68.88333333333333,Compliant,18.670000000000005,Low Risk
MFG0088,2022,65.17333333333333,Non-Compliant,34.096000000000004,Low Risk
MFG0373,2022,64.48666666666666,Compliant,21.308,Low Risk
MFG0100,2023,70.97333333333334,Compliant,17.415999999999993,Low Risk
MFG0360,2022,62.693333333333335,Non-Compliant,35.583999999999996,Low Risk
MFG0152,2023,70.38333333333333,Non-Compliant,30.970000000000006,Low Risk
MFG0131,2021,74.42999999999999,Compliant,15.342000000000004,Low Risk
MFG0150,2020,71.35000000000001,Compliant,17.189999999999994,Low Risk
MFG0309,2022,68.85333333333334,Compliant,18.687999999999995,Low Risk
MFG0258,2020,79.26,Compliant,12.443999999999997,Low Risk
MFG0344,2020,78.69,Compliant,12.786000000000001,Low Risk
MFG0492,2020,67.66666666666667,Compliant,19.399999999999995,Low Risk
MFG0414,2021,70.48666666666666,Compliant,17.708000000000002,Low Risk
MFG0294,2019,77.3,Compliant,13.620000000000001,Low Risk
MFG0386,2022,76.18,Compliant,14.291999999999996,Low Risk
MFG0192,2019,66.99333333333333,Non-Compliant,33.004000000000005,Low Risk
MFG0444,2019,63.45666666666667,Non-Compliant,35.126,Low Risk
MFG0277,2019,69.94999999999999,Compliant,18.030000000000005,Low Risk
MFG0161,2020,67.75666666666666,Compliant,19.346000000000004,Low Risk
MFG0460,2023,75.42,Compliant,14.747999999999998,Low Risk
MFG0314,2020,65.22666666666667,Compliant,20.863999999999994,Low Risk
MFG0022,2020,66.68,Non-Compliant,33.19199999999999,Low Risk
MFG0253,2019,84.36999999999999,Compliant,9.378000000000005,Low Risk
MFG0236,2020,65.60333333333334,Non-Compliant,33.837999999999994,Low Risk
MFG0345,2019,72.75333333333333,Compliant,16.348000000000003,Low Risk
MFG0049,2023,72.35333333333334,Compliant,16.587999999999997,Low Risk
MFG0475,2022,71.71666666666668,Non-Compliant,30.169999999999987,Low Risk
MFG0059,2019,69.11,Compliant,18.534,Low Risk
MFG0170,2023,75.25333333333333,Compliant,14.848,Low Risk
MFG0476,2022,72.29333333333334,Compliant,16.624,Low Risk
MFG0188,2021,62.20333333333334,Non-Compliant,49.077999999999996,Warning
MFG0464,2019,67.43333333333334,Compliant,19.539999999999996,Low Risk
MFG0271,2019,66.40666666666668,Compliant,20.15599999999999,Low Risk
MFG0190,2021,73.25,Compliant,16.05,Low Risk
MFG0446,2021,66.40333333333332,Compliant,20.158000000000005,Low Risk
MFG0175,2019,71.91333333333334,Compliant,16.851999999999993,Low Risk
MFG0446,2021,65.03333333333333,Non-Compliant,34.18,Low Risk
MFG0051,2020,61.38999999999999,Non-Compliant,36.36600000000001,Low Risk
MFG0364,2022,59.41666666666666,Non-Compliant,50.75000000000001,Warning
MFG0055,2022,72.84666666666665,Compliant,16.29200000000001,Low Risk
MFG0244,2022,70.19333333333334,Non-Compliant,31.083999999999996,Low Risk
MFG0320,2020,60.71,Non-Compliant,36.774,Low Risk
MFG0131,2021,70.51,Compliant,17.693999999999996,Low Risk
MFG0485,2023,70.58999999999999,Compliant,17.646000000000004,Low Risk
MFG0307,2021,74.10000000000001,Compliant,15.539999999999994,Low Risk
