Year,Industry_Type,E_Score,S_Score,G_Score,ROA,ROE,Net Profit Margin,Board_Independence
2014,Finance,53.3,76.9,70.1,10.6,19.8,17.8,83.9
2015,Finance,67.4,80.8,63.4,6.6,6.6,16.0,75.3
2016,Finance,72.7,87.9,68.3,9.6,12.7,4.0,75.6
2017,Finance,68.7,84.1,66.7,17.5,11.0,21.0,50.3
2018,Finance,84.3,94.2,94.3,2.5,18.3,21.0,82.2
2019,Finance,55.0,88.1,71.2,6.0,9.7,20.2,85.4
2020,Finance,45.4,84.9,73.7,16.3,20.8,6.8,78.4
2021,Finance,59.4,76.0,80.6,8.2,20.4,18.8,80.3
2022,Finance,82.3,65.4,62.8,11.7,22.1,21.7,65.9
2023,Finance,40.8,80.2,82.7,3.6,17.2,8.9,64.7
