Firm_ID,Year,Industry_Type,E_Score,S_Score,G_Score,Board_Independence,financial_risk_score
MFG0103,2023,Pharmaceuticals,71.37,62.37,60.5,81.08,0
MFG0436,2021,Automobile,85.2,77.27,71.71,64.35,0
MFG0349,2023,Textile,75.2,59.36,66.25,50.24,33
MFG0271,2021,Heavy Machinery,100.79,71.56,51.24,87.54,33
MFG0107,2019,Automobile,55.59,74.07,74.79,67.48,33
MFG0072,2019,Heavy Machinery,73.33,65.65,60.09,88.98,0
MFG0189,2019,Pharmaceuticals,67.1,69.37,63.6,77.09,0
MFG0021,2020,Heavy Machinery,74.58,75.49,67.48,54.96,0
MFG0103,2020,Textile,91.27,75.06,60.74,63.08,0
MFG0122,2022,Automobile,91.96,72.03,71.06,76.28,0
MFG0467,2022,Textile,72.6,67.88,56.17,75.97,33
MFG0215,2022,Textile,81.48,73.29,60.4,59.28,0
MFG0331,2020,Automobile,74.37,49.81,74.81,57.07,33
MFG0459,2020,Textile,60.17,81.28,65.2,61.07,0
MFG0088,2022,Electronics,72.16,66.81,56.55,81.48,33
MFG0373,2022,Electronics,66.44,61.39,65.63,59.67,0
MFG0100,2023,Electronics,71.31,73.4,68.21,78.07,0
MFG0360,2022,Heavy Machinery,62.63,73.14,52.31,84.8,33
MFG0152,2023,Textile,73.71,59.21,78.23,65.66,33
MFG0131,2021,Automobile,75.36,68.61,79.32,50.28,0
MFG0150,2020,Automobile,79.75,68.34,65.96,55.68,0
MFG0309,2022,Heavy Machinery,75.41,67.75,63.4,62.48,0
MFG0258,2020,Automobile,89.98,82.62,65.18,57.6,0
MFG0344,2020,Electronics,96.11,67.82,72.14,61.58,0
MFG0492,2020,Textile,67.55,66.83,68.62,71.76,0
MFG0414,2021,Automobile,82.67,61.88,66.91,50.84,0
MFG0294,2019,Automobile,95.26,60.58,76.06,52.57,0
MFG0386,2022,Pharmaceuticals,82.96,71.53,74.05,84.23,0
MFG0192,2019,Pharmaceuticals,79.89,63.77,57.32,70.89,33
MFG0444,2019,Pharmaceuticals,51.96,66.31,72.1,87.42,33
MFG0277,2019,Textile,65.86,69.78,74.21,50.13,0
MFG0161,2020,Electronics,67.47,68.57,67.23,50.01,0
MFG0460,2023,Electronics,87.26,69.21,69.79,79.58,0
MFG0314,2020,Electronics,63.96,69.18,62.54,69.05,0
MFG0022,2020,Textile,71.06,73.62,55.36,86.55,33
MFG0253,2019,Textile,81.24,91.77,80.1,81.46,0
MFG0236,2020,Pharmaceuticals,63.47,79.06,54.28,70.16,33
MFG0345,2019,Automobile,75.07,64.74,78.45,69.14,0
MFG0049,2023,Heavy Machinery,73.64,78.94,64.48,82.45,0
MFG0475,2022,Heavy Machinery,81.65,58.52,74.98,82.15,33
MFG0059,2019,Automobile,79.25,62.9,65.18,61.08,0
MFG0170,2023,Pharmaceuticals,78.9,74.36,72.5,76.99,0
MFG0476,2022,Automobile,74.21,74.08,68.59,75.73,0
MFG0188,2021,Automobile,53.56,73.41,59.64,84.24,66
MFG0464,2019,Heavy Machinery,73.54,62.69,66.07,84.74,0
MFG0271,2019,Pharmaceuticals,72.61,62.75,63.86,60.73,0
MFG0190,2021,Textile,80.43,69.18,70.14,85.19,0
MFG0446,2021,Heavy Machinery,67.35,65.73,66.13,86.98,0
MFG0175,2019,Textile,72.46,75.99,67.29,54.39,0
MFG0446,2021,Pharmaceuticals,72.81,65.5,56.79,72.95,33
MFG0051,2020,Automobile,64.16,65.24,54.77,67.46,33
MFG0364,2022,Electronics,59.31,53.37,65.57,66.08,66
MFG0055,2022,Electronics,76.21,75.88,66.45,78.19,0
MFG0244,2022,Pharmaceuticals,83.09,70.9,56.59,55.18,33
MFG0320,2020,Electronics,65.13,47.43,69.57,82.8,33
MFG0131,2021,Textile,69.6,72.01,69.92,51.06,0
MFG0485,2023,Electronics,81.13,64.39,66.25,73.13,0
MFG0307,2021,Pharmaceuticals,82.19,74.98,65.13,59.01,0
MFG0135,2019,Pharmaceuticals,74.55,67.05,54.86,76.7,33
MFG0021,2022,Textile,76.56,60.76,54.73,71.02,33
MFG0329,2021,Electronics,77.85,83.56,68.16,89.99,0
MFG0167,2023,Electronics,79.82,82.15,58.38,84.49,33
MFG0274,2019,Automobile,60.21,66.33,58.94,63.47,33
MFG0388,2020,Heavy Machinery,93.09,71.35,67.23,71.14,0
MFG0089,2020,Pharmaceuticals,75.01,63.87,81.3,62.71,0
MFG0316,2023,Automobile,80.03,52.64,61.82,79.15,33
MFG0014,2019,Pharmaceuticals,63.62,79.86,81.41,66.9,0
MFG0242,2022,Automobile,69.96,60.82,64.39,54.62,0
MFG0265,2021,Heavy Machinery,76.15,79.46,69.51,76.43,0
MFG0346,2019,Automobile,52.15,74.28,72.68,50.44,33
MFG0053,2020,Pharmaceuticals,62.09,70.58,73.26,61.89,0
MFG0386,2023,Electronics,64.02,67.63,67.71,86.29,0
MFG0340,2023,Pharmaceuticals,57.93,74.31,63.16,53.77,33
MFG0092,2021,Textile,73.17,59.63,71.62,70.18,33
MFG0367,2023,Textile,71.19,80.01,68.39,81.8,0
MFG0444,2023,Textile,87.66,69.29,61.51,86.18,0
MFG0455,2019,Textile,59.67,81.46,76.27,72.39,33
MFG0428,2022,Heavy Machinery,74.58,66.9,68.66,56.13,0
MFG0264,2021,Electronics,62.32,69.28,59.01,87.63,33
MFG0431,2019,Electronics,53.11,70.38,58.07,79.97,66
MFG0035,2022,Pharmaceuticals,78.47,73.18,80.67,65.83,0
MFG0206,2019,Automobile,79.38,84.3,61.06,61.08,0
MFG0081,2019,Pharmaceuticals,78.07,64.06,71.02,51.91,0
MFG0420,2023,Pharmaceuticals,57.52,66.85,68.01,57.66,33
MFG0050,2022,Pharmaceuticals,72.92,67.83,70.75,81.11,0
MFG0360,2021,Pharmaceuticals,78.57,47.16,80.29,54.35,33
MFG0388,2021,Electronics,82.47,63.01,72.98,55.18,0
MFG0002,2022,Automobile,78.91,63.59,71.69,57.84,0
MFG0390,2023,Pharmaceuticals,82.62,91.74,63.43,65.81,0
MFG0054,2020,Electronics,83.74,70.33,59.68,57.56,33
MFG0106,2019,Pharmaceuticals,73.15,72.44,84.36,86.17,0
MFG0260,2023,Textile,77.48,54.78,64.67,60.31,33
MFG0310,2022,Pharmaceuticals,83.0,67.44,64.15,86.78,0
MFG0477,2019,Pharmaceuticals,76.29,76.42,67.31,89.4,0
MFG0191,2021,Heavy Machinery,85.19,90.65,66.53,80.19,0
MFG0402,2020,Textile,81.62,61.84,77.74,50.3,0
MFG0218,2021,Automobile,65.04,51.66,69.32,59.6,33
MFG0044,2022,Pharmaceuticals,57.63,61.02,54.52,60.69,66
MFG0162,2019,Automobile,72.21,61.06,59.72,71.71,33
MFG0202,2022,Textile,59.01,61.14,65.09,56.34,33
MFG0446,2019,Pharmaceuticals,72.91,76.17,73.21,53.09,0
MFG0484,2023,Heavy Machinery,71.92,71.09,52.84,57.05,33
MFG0270,2020,Electronics,86.31,57.84,68.95,63.09,33
MFG0351,2023,Heavy Machinery,77.56,80.75,70.85,51.97,0
MFG0304,2023,Heavy Machinery,82.76,85.04,72.06,57.81,0
MFG0271,2022,Electronics,66.61,52.65,64.36,56.7,33
MFG0456,2020,Electronics,88.83,78.6,73.39,80.89,0
MFG0462,2019,Electronics,81.83,66.47,58.48,56.78,33
MFG0215,2019,Pharmaceuticals,76.7,59.52,72.56,81.66,33
MFG0252,2021,Automobile,52.13,54.9,64.51,70.33,66
MFG0190,2019,Automobile,84.97,63.92,65.34,80.31,0
MFG0296,2022,Electronics,91.51,63.3,65.25,68.01,0
MFG0213,2023,Heavy Machinery,72.12,69.33,70.2,86.04,0
MFG0208,2023,Textile,72.35,87.31,56.16,61.06,33
MFG0237,2023,Electronics,66.32,63.43,72.08,80.67,0
MFG0338,2020,Heavy Machinery,54.05,55.34,71.97,56.54,66
