Firm_ID,Year,Overall_Compliance,final_esg_risk_score,alert_level
MFG0103,2023,Compliant,0,Low
MFG0436,2021,Compliant,0,Low
MFG0349,2023,Non-Compliant,33,Warning
MFG0271,2021,Non-Compliant,33,Warning
MFG0107,2019,Non-Compliant,33,Warning
MFG0072,2019,Compliant,0,Low
MFG0189,2019,Compliant,0,Low
MFG0021,2020,Compliant,0,Low
MFG0103,2020,Compliant,0,Low
MFG0122,2022,Compliant,0,Low
MFG0467,2022,Non-Compliant,33,Warning
MFG0215,2022,Compliant,0,Low
MFG0331,2020,Non-Compliant,33,Warning
MFG0459,2020,Compliant,0,Low
MFG0088,2022,Non-Compliant,33,Warning
MFG0373,2022,Compliant,0,Low
MFG0100,2023,Compliant,0,Low
MFG0360,2022,Non-Compliant,33,Warning
MFG0152,2023,Non-Compliant,33,Warning
MFG0131,2021,Compliant,0,Low
MFG0150,2020,Compliant,0,Low
MFG0309,2022,Compliant,0,Low
MFG0258,2020,Compliant,0,Low
MFG0344,2020,Compliant,0,Low
MFG0492,2020,Compliant,0,Low
MFG0414,2021,Compliant,0,Low
MFG0294,2019,Compliant,0,Low
MFG0386,2022,Compliant,0,Low
MFG0192,2019,Non-Compliant,33,Warning
MFG0444,2019,Non-Compliant,33,Warning
MFG0277,2019,Compliant,0,Low
MFG0161,2020,Compliant,0,Low
MFG0460,2023,Compliant,0,Low
MFG0314,2020,Compliant,0,Low
MFG0022,2020,Non-Compliant,33,Warning
MFG0253,2019,Compliant,0,Low
MFG0236,2020,Non-Compliant,33,Warning
MFG0345,2019,Compliant,0,Low
MFG0049,2023,Compliant,0,Low
MFG0475,2022,Non-Compliant,33,Warning
MFG0059,2019,Compliant,0,Low
MFG0170,2023,Compliant,0,Low
MFG0476,2022,Compliant,0,Low
MFG0188,2021,Non-Compliant,66,Critical
MFG0464,2019,Compliant,0,Low
MFG0271,2019,Compliant,0,Low
MFG0190,2021,Compliant,0,Low
MFG0446,2021,Compliant,0,Low
MFG0175,2019,Compliant,0,Low
MFG0446,2021,Non-Compliant,33,Warning
MFG0051,2020,Non-Compliant,33,Warning
MFG0364,2022,Non-Compliant,66,Critical
MFG0055,2022,Compliant,0,Low
MFG0244,2022,Non-Compliant,33,Warning
MFG0320,2020,Non-Compliant,33,Warning
MFG0131,2021,Compliant,0,Low
MFG0485,2023,Compliant,0,Low
MFG0307,2021,Compliant,0,Low
MFG0135,2019,Non-Compliant,33,Warning
MFG0021,2022,Non-Compliant,33,Warning
MFG0329,2021,Compliant,0,Low
MFG0167,2023,Non-Compliant,33,Warning
MFG0274,2019,Non-Compliant,33,Warning
MFG0388,2020,Compliant,0,Low
MFG0089,2020,Compliant,0,Low
MFG0316,2023,Non-Compliant,33,Warning
MFG0014,2019,Compliant,0,Low
MFG0242,2022,Compliant,0,Low
MFG0265,2021,Compliant,0,Low
MFG0346,2019,Non-Compliant,33,Warning
MFG0053,2020,Compliant,0,Low
MFG0386,2023,Compliant,0,Low
MFG0340,2023,Non-Compliant,33,Warning
MFG0092,2021,Non-Compliant,33,Warning
MFG0367,2023,Compliant,0,Low
MFG0444,2023,Compliant,0,Low
MFG0455,2019,Non-Compliant,33,Warning
MFG0428,2022,Compliant,0,Low
MFG0264,2021,Non-Compliant,33,Warning
MFG0431,2019,Non-Compliant,66,Critical
MFG0035,2022,Compliant,0,Low
MFG0206,2019,Compliant,0,Low
MFG0081,2019,Compliant,0,Low
MFG0420,2023,Non-Compliant,33,Warning
MFG0050,2022,Compliant,0,Low
MFG0360,2021,Non-Compliant,33,Warning
MFG0388,2021,Compliant,0,Low
MFG0002,2022,Compliant,0,Low
MFG0390,2023,Compliant,0,Low
MFG0054,2020,Non-Compliant,33,Warning
MFG0106,2019,Compliant,0,Low
MFG0260,2023,Non-Compliant,33,Warning
MFG0310,2022,Compliant,0,Low
MFG0477,2019,Compliant,0,Low
MFG0191,2021,Compliant,0,Low
MFG0402,2020,Compliant,0,Low
MFG0218,2021,Non-Compliant,33,Warning
